transaction_id,amount,description,merchant,transaction_date,category,account_id
TXN000001,17.38,Walmart grocery shopping,grocery shopping,2024-11-23,Grocery,ACC5506
TXN000002,74.07,Doctor appointment co-pay,appointment co-pay,2024-05-05,Healthcare,ACC2679
TXN000003,48.03,Car insurance monthly,insurance monthly,2024-12-12,Insurance,ACC7912
TXN000004,51.38,Lunch at Olive Garden,at Olive,2024-01-17,Restaurant,ACC4811
TXN000005,18.14,Netflix monthly subscription,monthly subscription,2024-09-15,Subscriptions,ACC4257
TXN000006,212.66,Car insurance monthly,insurance monthly,2024-11-28,Insurance,ACC8359
TXN000007,405.67,Movie tickets Cinemark,tickets Cinemark,2024-10-28,Entertainment,ACC1106
TXN000008,173.42,Uber ride to downtown,ride to,2024-03-22,Transportation,ACC3547
TXN000009,55.59,Electric bill payment,bill payment,2024-04-20,Utilities,ACC7224
TXN000010,424.51,Electric bill payment,bill payment,2024-02-19,Utilities,ACC5333
TXN000011,270.43,Amazon online purchase,online purchase,2024-01-23,Shopping,ACC7201
TXN000012,150.12,Car insurance monthly,insurance monthly,2024-02-10,Insurance,ACC6925
TXN000013,353.76,Doctor appointment co-pay,appointment co-pay,2024-10-22,Healthcare,ACC1750
TXN000014,387.67,Doctor appointment co-pay,appointment co-pay,2024-12-04,Healthcare,ACC2307
TXN000015,193.16,Walmart grocery shopping,grocery shopping,2024-04-29,Grocery,ACC8428
TXN000016,85.51,Electric bill payment,bill payment,2024-11-21,Utilities,ACC6820
TXN000017,352.4,Movie tickets Cinemark,tickets Cinemark,2024-04-17,Entertainment,ACC2169
TXN000018,269.4,Shell gas station,gas station,2024-11-07,Gas,ACC5010
TXN000019,192.83,Amazon online purchase,online purchase,2024-03-24,Shopping,ACC4598
TXN000020,422.21,Electric bill payment,bill payment,2024-12-16,Utilities,ACC1916
TXN000021,403.5,Lunch at Olive Garden,at Olive,2024-04-27,Restaurant,ACC7572
TXN000022,109.44,Walmart grocery shopping,grocery shopping,2024-05-17,Grocery,ACC6155
TXN000023,200.84,Amazon online purchase,online purchase,2024-04-18,Shopping,ACC8517
TXN000024,74.12,Movie tickets Cinemark,tickets Cinemark,2024-03-14,Entertainment,ACC9830
TXN000025,217.07,Netflix monthly subscription,monthly subscription,2024-05-14,Subscriptions,ACC7543
TXN000026,498.68,Doctor appointment co-pay,appointment co-pay,2024-07-04,Healthcare,ACC3266
TXN000027,50.0,Amazon online purchase,online purchase,2024-09-17,Shopping,ACC1771
TXN000028,315.59,Shell gas station,gas station,2024-02-26,Gas,ACC7916
TXN000029,195.46,Walmart grocery shopping,grocery shopping,2024-11-01,Grocery,ACC8668
TXN000030,485.68,Movie tickets Cinemark,tickets Cinemark,2024-09-27,Entertainment,ACC1188
TXN000031,342.45,Walmart grocery shopping,grocery shopping,2024-12-14,Grocery,ACC9797
TXN000032,60.22,Electric bill payment,bill payment,2024-05-16,Utilities,ACC8123
TXN000033,6.61,Amazon online purchase,online purchase,2024-03-21,Shopping,ACC5315
TXN000034,256.3,Shell gas station,gas station,2024-09-13,Gas,ACC2743
TXN000035,421.63,Movie tickets Cinemark,tickets Cinemark,2024-11-16,Entertainment,ACC9317
TXN000036,80.66,Doctor appointment co-pay,appointment co-pay,2024-11-07,Healthcare,ACC3646
TXN000037,459.65,Car insurance monthly,insurance monthly,2024-10-03,Insurance,ACC6310
TXN000038,60.37,Lunch at Olive Garden,at Olive,2024-09-07,Restaurant,ACC6947
TXN000039,33.67,Doctor appointment co-pay,appointment co-pay,2024-06-06,Healthcare,ACC2290
TXN000040,408.93,Amazon online purchase,online purchase,2024-02-13,Shopping,ACC9727
TXN000041,331.58,Shell gas station,gas station,2024-03-05,Gas,ACC3705
TXN000042,436.85,Car insurance monthly,insurance monthly,2024-05-15,Insurance,ACC7932
TXN000043,378.86,Car insurance monthly,insurance monthly,2024-04-18,Insurance,ACC4295
TXN000044,202.5,Movie tickets Cinemark,tickets Cinemark,2024-12-31,Entertainment,ACC7118
TXN000045,228.49,Car insurance monthly,insurance monthly,2024-08-12,Insurance,ACC5061
TXN000046,172.35,Walmart grocery shopping,grocery shopping,2024-04-25,Grocery,ACC4770
TXN000047,8.56,Doctor appointment co-pay,appointment co-pay,2024-10-28,Healthcare,ACC1964
TXN000048,453.18,Walmart grocery shopping,grocery shopping,2024-04-27,Grocery,ACC6413
TXN000049,122.81,Car insurance monthly,insurance monthly,2024-02-06,Insurance,ACC8953
TXN000050,70.49,Car insurance monthly,insurance monthly,2024-04-19,Insurance,ACC8744
TXN000051,404.71,Amazon online purchase,online purchase,2024-05-04,Shopping,ACC4119
TXN000052,331.2,Walmart grocery shopping,grocery shopping,2024-02-18,Grocery,ACC6804
TXN000053,236.18,Uber ride to downtown,ride to,2024-08-04,Transportation,ACC1887
TXN000054,35.0,Walmart grocery shopping,grocery shopping,2024-12-10,Grocery,ACC6559
TXN000055,99.84,Doctor appointment co-pay,appointment co-pay,2024-02-25,Healthcare,ACC9786
TXN000056,213.83,Shell gas station,gas station,2024-08-17,Gas,ACC5563
TXN000057,437.87,Doctor appointment co-pay,appointment co-pay,2024-08-24,Healthcare,ACC2235
TXN000058,53.46,Car insurance monthly,insurance monthly,2024-08-14,Insurance,ACC9856
TXN000059,463.55,Walmart grocery shopping,grocery shopping,2024-01-08,Grocery,ACC4872
TXN000060,245.39,Uber ride to downtown,ride to,2024-03-26,Transportation,ACC4502
TXN000061,86.5,Lunch at Olive Garden,at Olive,2024-07-24,Restaurant,ACC1035
TXN000062,463.63,Movie tickets Cinemark,tickets Cinemark,2024-07-18,Entertainment,ACC8454
TXN000063,349.81,Uber ride to downtown,ride to,2024-05-26,Transportation,ACC8973
TXN000064,151.87,Doctor appointment co-pay,appointment co-pay,2024-03-20,Healthcare,ACC1958
TXN000065,35.17,Car insurance monthly,insurance monthly,2024-10-23,Insurance,ACC6138
TXN000066,294.17,Lunch at Olive Garden,at Olive,2024-01-30,Restaurant,ACC9238
TXN000067,33.16,Shell gas station,gas station,2024-09-28,Gas,ACC9320
TXN000068,38.92,Shell gas station,gas station,2024-02-11,Gas,ACC2113
TXN000069,204.87,Doctor appointment co-pay,appointment co-pay,2024-12-11,Healthcare,ACC5033
TXN000070,24.67,Netflix monthly subscription,monthly subscription,2024-10-23,Subscriptions,ACC2343
TXN000071,284.79,Netflix monthly subscription,monthly subscription,2024-08-02,Subscriptions,ACC6183
TXN000072,336.51,Doctor appointment co-pay,appointment co-pay,2024-05-13,Healthcare,ACC6147
TXN000073,200.91,Movie tickets Cinemark,tickets Cinemark,2024-05-02,Entertainment,ACC5915
TXN000074,464.86,Electric bill payment,bill payment,2024-08-22,Utilities,ACC2188
TXN000075,312.47,Amazon online purchase,online purchase,2024-01-05,Shopping,ACC2638
TXN000076,110.51,Car insurance monthly,insurance monthly,2024-02-07,Insurance,ACC5345
TXN000077,441.03,Electric bill payment,bill payment,2024-03-08,Utilities,ACC5002
TXN000078,83.08,Movie tickets Cinemark,tickets Cinemark,2024-07-08,Entertainment,ACC9900
TXN000079,307.78,Movie tickets Cinemark,tickets Cinemark,2024-12-26,Entertainment,ACC9666
TXN000080,153.19,Car insurance monthly,insurance monthly,2024-01-05,Insurance,ACC2697
TXN000081,62.14,Movie tickets Cinemark,tickets Cinemark,2024-03-09,Entertainment,ACC2753
TXN000082,139.81,Shell gas station,gas station,2024-10-10,Gas,ACC4450
TXN000083,345.31,Doctor appointment co-pay,appointment co-pay,2024-06-24,Healthcare,ACC5325
TXN000084,129.31,Amazon online purchase,online purchase,2024-09-15,Shopping,ACC1832
TXN000085,415.53,Uber ride to downtown,ride to,2024-02-17,Transportation,ACC1722
