transaction_id,description,ai_category,original_category,confidence
TXN000001,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000002,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000003,Car insurance monthly,Insurance,Insurance,0.85
TXN000004,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000005,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000006,Car insurance monthly,Insurance,Insurance,0.85
TXN000007,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000008,Uber ride to downtown,Transportation,Transportation,0.85
TXN000009,Electric bill payment,Utilities,Utilities,0.85
TXN000010,Electric bill payment,Utilities,Utilities,0.85
TXN000011,Amazon online purchase,Shopping,Shopping,0.85
TXN000012,Car insurance monthly,Insurance,Insurance,0.85
TXN000013,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000014,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000015,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000016,Electric bill payment,Utilities,Utilities,0.85
TXN000017,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000018,Shell gas station,Gas,Gas,0.85
TXN000019,Amazon online purchase,Shopping,Shopping,0.85
TXN000020,Electric bill payment,Utilities,Utilities,0.85
TXN000021,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000022,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000023,Amazon online purchase,Shopping,Shopping,0.85
TXN000024,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000025,Netflix monthly subscription,Entertainment,Subscriptions,0.85
TXN000026,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000027,Amazon online purchase,Shopping,Shopping,0.85
TXN000028,Shell gas station,Gas,Gas,0.85
TXN000029,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000030,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000031,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000032,Electric bill payment,Utilities,Utilities,0.85
TXN000033,Amazon online purchase,Shopping,Shopping,0.85
TXN000034,Shell gas station,Gas,Gas,0.85
TXN000035,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000036,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000037,Car insurance monthly,Insurance,Insurance,0.85
TXN000038,Lunch at Olive Garden,Restaurant,Restaurant,0.85
TXN000039,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000040,Amazon online purchase,Shopping,Shopping,0.85
TXN000041,Shell gas station,Gas,Gas,0.85
TXN000042,Car insurance monthly,Insurance,Insurance,0.85
TXN000043,Car insurance monthly,Insurance,Insurance,0.85
TXN000044,Movie tickets Cinemark,Entertainment,Entertainment,0.85
TXN000045,Car insurance monthly,Insurance,Insurance,0.85
TXN000046,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000047,Doctor appointment co-pay,Healthcare,Healthcare,0.85
TXN000048,Walmart grocery shopping,Grocery,Grocery,0.85
TXN000049,Car insurance monthly,Insurance,Insurance,0.85
